"物理表ID","平台","数据源","表名","中文注释","角色","证据级别","判断理由","核验范围","待确认问题","核验图版本","核验时间","证据ID"
"dataset:23b13077753b594b6dc75f0395dd6620018b6e30f0d7ed7b83668862bf3d4c67","hive","gfhive","pdata_n.t01_pty_name","每日一份快照，存放所有当事人的名称变动历史，拉链数据存储","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖9个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:23b13077753b594b6dc75f0395dd6620018b6e30f0d7ed7b83668862bf3d4c67"
"dataset:fee85ab2c397cd0f37cfcb0303667e4ab7cc45f0a4a0ee36c1e7cd2c9726aa02","hive","gfhive","dm_index_n.index_grp2_std_ast_aft_covt_mth_apd","客户*机构_标准资产_普通账户市值累退折算&产品户比例切分&剔除司法冻结户&员工持股计划及回购客户处理&考核系数折算后_当月日均&每日更新过去6个月数据_无备注信息","BUSINESS_RESULT","METADATA_ONLY","中文注释表明其为指标、汇总、分析、特征、行情或业务明细结果；下游覆盖4个schema，说明复用分散，不因高入度改标为基础表。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:fee85ab2c397cd0f37cfcb0303667e4ab7cc45f0a4a0ee36c1e7cd2c9726aa02"
"dataset:5a5caef0289d22c7e3f34c3fb23f11ced5ca7ed35d22726c3bb48d046a2cf559","hive","gfhive","pdata_n.t98_otc_deri_comp_sale_info","T98_场外衍生品合约销售收入基本信息表","BUSINESS_RESULT","SQL_VERIFIED","写入SQL按业务分支生成合约、交易对手、合约类型和交易要素；虽被广泛复用，仍是加工后的销售业务事实结果。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","仅核对所列代表SQL片段；未逐一核对该物理表的全部写者和全部消费者。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:5a5caef0289d22c7e3f34c3fb23f11ced5ca7ed35d22726c3bb48d046a2cf559"
"dataset:41c79fc4d5f07e133e0cf614fabc864f4c5f7426d422ca1b3720572872dec951","hive","gfhive","pdata_n.ref_dw_cd_val","仓库代码取值","PUBLIC_DEFINITION","SQL_VERIFIED","写入SQL从数据字典抽取代码编号、代码值、描述、编码方式和来源表，确认它是公共代码取值参考。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","仅核对所列代表SQL片段；未逐一核对该物理表的全部写者和全部消费者。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:41c79fc4d5f07e133e0cf614fabc864f4c5f7426d422ca1b3720572872dec951"
"dataset:7ac42558fef06b1fd2fb083947bc3874a9851ff1ec7490ab3317346efecd9ccc","hive","gfhive","pdata_n.t03_agt_stati_info_h","历史拉链表，存放所有协议的各种统计信息及变动历史，该数据为从源系统获取的重要统计数据，非大数据平台计算的指标。","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖8个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:7ac42558fef06b1fd2fb083947bc3874a9851ff1ec7490ab3317346efecd9ccc"
"dataset:130d8eaab919a16ff469e8270acf7f802e7371f09b77d8cb12e0560e9071518f","hive","gfhive","pdata_n.t03_otc_opt_comp_sub_trd_info","每天一份快照，记录场外期权子交易的合约主体、序号、状态、生效 / 到期 / 结算日期、标的、名义本金、数量、买卖方向、账簿信息、执行类型等核心交易要素，用于子交易层级的估值、结算、风控与台账管理。","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖6个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:130d8eaab919a16ff469e8270acf7f802e7371f09b77d8cb12e0560e9071518f"
"dataset:2a28c31d675728b6bcbc6c1a6f4fbc6f26832e7103ee1bfd3c88ba3d543ae4fa","hive","gfhive","pdata_n.t01_pty_emp_rela_adtnl_info","当事人员工关系附加信息","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖5个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:2a28c31d675728b6bcbc6c1a6f4fbc6f26832e7103ee1bfd3c88ba3d543ae4fa"
"dataset:6fe25163880c746448571f127e3e774ec3d12233239487215a34281dfd0dbdfa","hive","gfhive","pdata_n.t98_cust_indv_cust_base_info","T98_个人客户基本信息","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖10个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:6fe25163880c746448571f127e3e774ec3d12233239487215a34281dfd0dbdfa"
"dataset:9c215566aa8c392fba61fcd382887491c5f1a4a899758778008ccb503aa29359","hive","gfhive","pdata_n.t03_otc_opt_comp_info","每天一份快照，记录场外期权合约的交易对手、账户、组合、交易日期、名义本金、期权费、期限、票息、结算币种及各类履约、支付、提前终止规则等核心合约要素。","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖11个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:9c215566aa8c392fba61fcd382887491c5f1a4a899758778008ccb503aa29359"
"dataset:ea13700b2ea673c78faf939fe9d42a6bd44807c4f225628c84b1e10dcf5ceceb","hive","gfhive","dm_index_n.tag_def","标签定义表","PUBLIC_DEFINITION","METADATA_ONLY","元数据将其描述为定义/对照类对象；下游覆盖6个schema，说明复用分散，暂列公共定义候选，未核SQL所以不建议排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:ea13700b2ea673c78faf939fe9d42a6bd44807c4f225628c84b1e10dcf5ceceb"
"dataset:cf5dcc9bb3733cd04fffcd16bf854cd3dff4b11c9749c17a1688e2c1b56d9b3f","hive","gfhive","odata_n_tit.d_ref_otc_option_deal","场外交易-期权交易合同要素表","BUSINESS_FOUNDATION;TRANSFER","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖2个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:cf5dcc9bb3733cd04fffcd16bf854cd3dff4b11c9749c17a1688e2c1b56d9b3f"
"dataset:50dbf608aa591e980b98729a272bf5cf4afd1dbd1c1ae6346b38979e6d80c027","hive","gfhive","pdata_n.t03_otc_opt_comp_stru_elmn_info","每天一份快照，记录场外期权合约的结构参数、定价日期、标的、精度规则、收益率、执行价、障碍价、票息及汇率类型等核心结构化要素，用于期权定价、估值计算与合约条款管理。","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖11个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:50dbf608aa591e980b98729a272bf5cf4afd1dbd1c1ae6346b38979e6d80c027"
"dataset:7387a1089a7df51ee569b5c67f593085f5466097f737c19b1b3a37912da756da","hive","gfhive","pdata_n.t03_otc_swap_comp_leg_info","每天一份快照，记录场外互换合约单个 LEG 分支的支付方向、币种、标的、利率类型、固定 / 浮动利率、计息方式、期限及计算参数等信息，用于互换估值、现金流计算、清算与风控。","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖13个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:7387a1089a7df51ee569b5c67f593085f5466097f737c19b1b3a37912da756da"
"dataset:8bfedab27396b1ef2107fed850807e8ed54089c754022acbff7bfb955880ded2","hive","gfhive","pdata_n.t98_sb_otc_swap_comp_info","每天一份快照，公司自营场外互换业务的核心合约主数据表","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖9个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:8bfedab27396b1ef2107fed850807e8ed54089c754022acbff7bfb955880ded2"
"dataset:468f32c2e0e81f4af996ea87debc44fd7dccbdfbe4e8e110f1eaba4a379a5925","hive","gfhive","pdata_n.t01_pty_stati_info_h","历史拉链表，增量更新存放所有当事人其它的重要的统计数据信息，如机构联系人数量、我司可联系人员数量、客户团队明细、客户考核产品信息、客户年收入等，信息比较多，具体统计信息项内容可查看仓库代码字段","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖10个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:468f32c2e0e81f4af996ea87debc44fd7dccbdfbe4e8e110f1eaba4a379a5925"
"dataset:d447eec4d7b09da0d1148dc1abc768193e951a77731a7de1164d3e41c6f5588f","hive","gfhive","odata_n_tit.d_trd_otc_trade","【AI】交易-OTC—交易表（父类）","BUSINESS_FOUNDATION;TRANSFER","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖6个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:d447eec4d7b09da0d1148dc1abc768193e951a77731a7de1164d3e41c6f5588f"
"dataset:d4f6b955d172f20db142a44064afc6aa96dd4611841f24686af738404d421695","hive","gfhive","pdata_n.t03_otc_swap_comp_info","每天一份快照，场外互换合约的核心基础信息表，完整记录了场外互换合约从开立到履约的全维度关键要素。","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖13个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:d4f6b955d172f20db142a44064afc6aa96dd4611841f24686af738404d421695"
"dataset:128b4323c3bdd43a207f140d975b8a52d13545002d34491b07a02b8a74b31269","hive","gfhive","odata_n_tit.d_ref_trs","场外交易-TRS","BUSINESS_FOUNDATION;TRANSFER","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖5个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:128b4323c3bdd43a207f140d975b8a52d13545002d34491b07a02b8a74b31269"
"dataset:dc56d0cfc55edf3f957358de9ede6ee92c559b8458bb93c1ef025864488c1077","hive","gfhive","pdata_n.t03_agt_name_h","历史拉链表，存放所有协议的名称变动历史，拉链存储。","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖7个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:dc56d0cfc55edf3f957358de9ede6ee92c559b8458bb93c1ef025864488c1077"
"dataset:d40fc46d1568725dd65f4af8607141524c4ab40d164808bccc30463626ec8c7e","starrocks","gfstarrocks_ods_titans","ods_gf1.hq_data_push_log","总部推送至GF1数据接收日志表","SYSTEM_LOG","SQL_VERIFIED","代表写者SQL产出推送表名、数据量、推送起止时间和状态字段，确认它记录数据推送作业的日志属性；高入度来自多写者汇聚，不代表业务结果加工。SQL中的success是写死常量，不是推送成功的运行实证。 代表SQL的success为常量，不证明实际推送成功。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","仅核对 133 个写者中的一个代表SQL；未逐一核对全部写者，且常量success不能证明任务实际运行成功。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:d40fc46d1568725dd65f4af8607141524c4ab40d164808bccc30463626ec8c7e"
"dataset:758a925755f5af51f224ca1bee42d2330f7653a38a82f4f8fae2d694f69c0fcc","hive","gfhive","dm_ctms_n.pwc_psn_sys_user_roles","系统权限表","ACCESS_MANAGEMENT","SQL_VERIFIED","SQL围绕系统编号、系统用户、角色、机构和审计权限做分支筛选与去重，确认其为跨系统账号权限汇总。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","仅核对所列代表SQL片段；未逐一核对该物理表的全部写者和全部消费者。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:758a925755f5af51f224ca1bee42d2330f7653a38a82f4f8fae2d694f69c0fcc"
"dataset:1f626cf7dc71431f7096fa0bccab979886471134d304c33ceefddba080f62237","hive","gfhive","dm_engin_n.employee_clt_tb","员工的客户画像特征宽表","BUSINESS_RESULT","METADATA_ONLY","中文注释表明其为指标、汇总、分析、特征、行情或业务明细结果；下游schema较集中，不因高入度改标为基础表。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:1f626cf7dc71431f7096fa0bccab979886471134d304c33ceefddba080f62237"
"dataset:8703c8022f7758fd477b9d6e740d5843a71f101b8af452bd76d7a68ecf03568b","hive","gfhive","dm_om_n.wt_qywxtagchanges_day_s","企微标签同步计算表","TRANSFER","METADATA_ONLY","元数据和物理层位置显示其具有跨层承接或同步用途，同时保留其业务角色；下游schema较集中。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:8703c8022f7758fd477b9d6e740d5843a71f101b8af452bd76d7a68ecf03568b"
"dataset:aa6bc0cb785d74be087d7df8cb9d8238813db7c423d3d52eea7cb7c4a6dcde4d","hive","gfhive","pdata_n.t01_corp_cust","对公客户","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖5个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:aa6bc0cb785d74be087d7df8cb9d8238813db7c423d3d52eea7cb7c4a6dcde4d"
"dataset:d6b2cce43e2775b8160b9bcca0426852729da88ae756ea878585e5e0cb709d83","hive","gfhive","pdata_n.t98_otc_opt_comp_sub_trd_base_info","T98_场外期权合约子交易基本信息","BUSINESS_RESULT","METADATA_ONLY","中文注释表明其为指标、汇总、分析、特征、行情或业务明细结果；下游覆盖2个schema，说明复用分散，不因高入度改标为基础表。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:d6b2cce43e2775b8160b9bcca0426852729da88ae756ea878585e5e0cb709d83"
"dataset:83df95344c64262cbbaa68bca4783d7dc4470d6880d8147afe690c44c55a6242","hive","gfhive","pdata_news_n.t02_scr_info_tot","证券信息总表","BUSINESS_RESULT","METADATA_ONLY","中文注释表明其为指标、汇总、分析、特征、行情或业务明细结果；下游覆盖2个schema，说明复用分散，不因高入度改标为基础表。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:83df95344c64262cbbaa68bca4783d7dc4470d6880d8147afe690c44c55a6242"
