"类型","业务ID","名称","定义","输出库表","匹配当前IO表名","筛选范围","证据边界"
"indicator","ind2025051261885908","客户*员工_新增净资产_普通开发关系&日均净资产大于等于1万的客户_近3个月_无备注信息","计算客户*员工层级普通开发关系下的近3月新增净资产。
计算逻辑如下：
①新增资产=（考核资产T+T-1月考核资产+T-2月考核资产）
②考核资产T-1是指T-1月资产大于等于1万的客户在T月10-25日日均考核资产，考核资产T-2是指T-2月资产大于等于1万的客户在T月10-25日日均考核资产。
③T-2到T月，客户3个月的10-25 日日均净资产均需大于1 万才能计算入当月月均资产。
①客户条件：满足新开户（首次开户6个月内）/休眠空户激活/行权解禁条件， 10-25 日日均净资产大于等于 1 万的客户，纳入考核，客户入金须在本月10日前。
②资产条件：净资产口径含现金（普通账户、信用账户和衍生品账户）、市值（普通账户、信用账户和衍生品账户，具体含场内股基债、场外金融产品、衍生品市值等）、利息（通用回购逆回购、金快线），剔除负债（通用回购正回购、两融等合约负债），大小非、新三板（剔除北交所）资产按5%折算。
资产口径：当月10-25日日均净资产（同上资产条件）。","dm_index_n.index_grp2_cust_emp_addnetast_normdevrela_3mth","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024031286954536","员工_新增净资产_普通开发关系&日均净资产大于等于1万的客户&大小非新三板折算&北交所及同业不折算&不含未到账资产_当月_无备注信息","普通开发关系下的员工当月新增净资产。
①客户条件：满足新开户（首次开户6个月内）/休眠空户激活/行权解禁条件，自新增资产转入之日起， 10-25 日日均净资产大于等于 1 万的客户，纳入考核。
②资产条件：净资产口径含现金（普通账户、信用账户和衍生品账户）、市值（普通账户、信用账户和衍生品账户，具体含场内股基债、场外金融产品、衍生品市值等）、利息（通用回购逆回购、金快线），剔除负债（通用回购正回购、两融等合约负债），大小非、新三板（剔除北交所）资产按5%折算。
资产口径：当月10-25日日均净资产（同上资产条件）","dm_index_n.index_grp1_emp_netast_normdevrela_mthadd","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023041921447298","客户_新增日均产品保有市值_全产品口径_当年_无备注信息","全产品日均保有市值_当年新增（包括场内ETF及场外全口径产品）","dm_index_n.index_grp_incrs_whl_prd_ret_amt_avg_year","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2026012266076513","员工_金融产品创收_业务总监&私财客户_当月_零售和机构柜台","汇总求和私财业务总监团队下私财员工的当月金融产品。
说明：剔除赎回费、托管费、OTC
每月8号固化上月数据","dm_index_n.index_grp1_emp_finprdincome_bd_mth_ricc","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2026072413702865","场外衍生品交易对手方主体*场外衍生品业务类型_成交笔数_去年至今_当日_无备注信息","场外衍生品合约成交笔数","dm_index_n.index_grp1_otcderi_cutpenty_busitype_trd_cnt_lytd_tdy","否","名称或表名直接命中专题词","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2026072472940520","场外衍生品交易对手方主体*场外衍生品业务类型_成交笔数_成立至今_当日_无备注信息","场外衍生品合约成交笔数","dm_index_n.index_grp1_otcderi_cutpenty_busitype_trd_cnt_itd_tdy","否","名称或表名直接命中专题词","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2026071793068462","场外衍生品交易对手方主体_销售收入_场外衍生品_当年_无备注信息","场外衍生品年度拓展方部门所得收入。","dm_index_n.index_grp1_cutpenty_saleincome_otcderi_year","否","名称或表名直接命中专题词","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2026072064860430","场外衍生品交易对手方主体*分公司及总部一级部门_销售收入_场外衍生品_当年_无备注信息","场外衍生品年度拓展方部门所得收入。","dm_index_n.index_grp2_cutpenty_brchhqdept_saleincome_otcderi_year","否","名称或表名直接命中专题词","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2026071718950821","场外衍生品交易对手方主体_销售收入_场外衍生品_季度_无备注信息","场外衍生品季度拓展方部门所得收入。","dm_index_n.index_grp1_cutpenty_saleincome_otcderi_qtr","否","名称或表名直接命中专题词","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2026071783236474","场外衍生品交易对手方主体*分公司及总部一级部门_销售收入_场外衍生品_季度_无备注信息","场外衍生品季度拓展方部门所得收入。","dm_index_n.index_grp2_cutpenty_brchhqdept_saleincome_otcderi_qtr","否","名称或表名直接命中专题词","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2026072222574430","场外衍生品交易对手方主体_动态名义本金_无限制条件_当日_无备注信息","TITANS场外衍生品交易对手方主体维动态名义本金","dm_index_n.index_grp1_otcdericutpenty_dynanomprin_tdy","否","名称或表名直接命中专题词","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024050762520385","员工_交易规模_场外衍生品&交叉销售_当季_无备注信息","某个客户经理的场外交叉销售合约期初定价日在当季的初始名义本金加总","dm_index_n.index_grp1_dealscal_otcderi_cs_qtr","是","名称或表名直接命中专题词","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024042208516820","员工_交易规模_场外衍生品&交叉销售_当月_无备注信息","某个客户经理的场外交叉销售合约期初定价日在当月的初始名义本金加总","dm_index_n.index_grp1_dealscal_otcderi_cs_mth","是","名称或表名直接命中专题词","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2025091296434078","新媒体引流团队*员工_新增净资产_指定渠道_近3个月月均_无备注信息","近3个月月均，新媒体引流团队员工使用开户渠道标识的新增净资产。
①客户条件：通过直播、图文引流的客户，满足新开户（首次开户6个月内），自新增资产转入之日起，10-25日交易日日均净资产大于等于1万的客户，纳入考核。
②资产条件：净资产口径含现金（普通账户、信用账户和衍生品账户）、市值（普通账户、信用账户和衍生品账户，具体含场内股基债、场外金融产品、衍生品市值等）、利息（通用回购逆回购、金快线），剔除负债（国债通用回购正回购、两融等合约负债），大小非、新三板（剔除北交所）资产按5%折算。
（2）新增资产计算规则
①月均新增资产=（新增考核资产T+新增考核资产T-1+新增考核资产T-2）/3
②新增考核资产T-1是指T-1月新增资产大于等于1万的客户在T月10-25日交易日日均净资产，以此类推。
③T-2到T月三个月，在T月需要按照上述客户和资产条件对客户情况进行判断，如客户在某个月 10-25 日交易日日均净资产小于1 万，则该客户资产不计算入当月月均新增资产。","dm_index_n.index_grp2_addast_asgnchan_lst3mth_avg","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024042289091584","营业部_创收_全口径_当月累计&每日更新过去13个月数据_零售和机构柜台","机构层级当月累计证金业务创收，每日更新过去13个月月累计数据，包括：传统业务创收，财富管理创收，证金业务创收，期权业务创收，交叉销售创收，总创收 具体口径及标签见：https://doc.weixin.qq.com/sheet/e3_AZYAGQY2APAaF81Kqm3TbmelhLgD4?scode=AH4A_wdgAAYqEWTV6kAUcAugYyAPM&tab=BB08J2","dm_index_n.index_grp1_org_incm_allcali_wghtdata_last13mon_mth_all","是","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2026070106546380","客户*产品_日均市值_资产核算&交易日_当年_零售和机构柜台","某客户某产品当年以来每日场内证券&场外证券&期权&现金市值之和除以当年以来的交易日天数","dm_index_n.index_grp1_trddayapdmval_astacctng_year_ricc","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023030937735410","营业部&分公司_销售收入_场外衍生品_季度_无备注信息","场外衍生品每季度拓展方所得收入","dm_index_n.index_grp_sale_income_otc_quat","否","名称或表名直接命中专题词","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024080993627725","员工_创收_全口径_当月&每日更新过去3个月_无备注信息","员工维度全口径aum创收，其中期权创收、证金创收、产品创收、资讯创收以及传统创收按资产包关系从客户汇总到员工，平台增值业务和交叉销售创收直接从上游取数，详细标签可见：https://doc.weixin.qq.com/sheet/e3_AZYAGQY2APAaF81Kqm3TbmelhLgD4?scode=AH4A_wdgAAYyUNTED0AUcAugYyAPM&tab=BB08J2","dm_index_n.index_grp1_emp_incm_allcali_wghtdata_last13mon_mth","是","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2026020502231487","客户*产品_销售金额_金融产品_最近1年_无备注信息","本指标包含以下用来区分交易额的标签：
1. 场内场外
2. 公募私募资管OTC
3. 场外公募产品
4. 线上线下
5. 基金投顾
6.资管（不含现金增利）
7.公募（不含基金投顾）
8.场外公募（不含基金投顾）
9.现金增利
10.资管大集合、资管小集合
11.公募_现金货币类_场内/场外
12.总值
13.私募（不含基金投顾）","dm_index_n.index_grp2_saleamt_finprd_last1year","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024012935524447","客户*营业部&客户*分公司本部_合约规模_场外衍生品&交叉销售_当年日均_无备注信息","客户按照比例分摊至各部门的交叉销售日均动态名义本金规模","dm_index_n.index_grp2_compscal_otcderi_cs_yearapd","是","名称或表名直接命中专题词","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024030427888553","客户*营业部&客户*分公司本部_合约规模_场外衍生品&交叉销售_当月日均_无备注信息","客户按照比例分摊至各部门的各员工的交叉销售日均动态名义本金规模","dm_index_n.index_grp2_compscal_otcderi_cs_mthapd","是","名称或表名直接命中专题词","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2022112327067811","客户_建仓日期_场外公募基金&当前持仓_无计算维度_无备注信息","客户当前持仓的单只场外公募基金的建仓日期","dm_index_n.index_grp_curr_otc_fund_buy_date","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023102469748920","员工_销售金额_认领关系为主&不含基金投顾&剔除货币基金及现金增利及90天内固收产品_当日_零售和机构柜台","每个交易日统计当日某员工名下符合以下条件的产品销售金额：
1. 员工与客户的关系为先取认领关系（状态为审核通过），其次取普通开发关系，最后取服务关系
2. 金融产品包括公募，私募，资管，OTC，不含基金投顾
3. 剔除货币基金、现金增利和90天以内固收产品","dm_index_n.index_grp1_emp_main_clm_del_spec_prd_sale_amt","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024022884298902","员工_创收_以开发关系为主汇总&剔除新增创收&剔除托管费&剔除OTC保有奖励&产品相关创收剔除员工自购&产品相关创收仅保留在职期间员工&剔除息差&剔除期权相关创收_当月_零售和机构柜台","员工按照开发关系为主汇总的创收，剔除新增创收，剔除托管费，剔除OTC保有奖励，剔除赎回费，剔除研发协同收入，产品相关创收剔除员工自购，产品相关创收仅保留在职期间员工，剔除期权相关创收，应用于机构序列人员发薪。该指标完整标签见：https://doc.weixin.qq.com/sheet/e3_AZYAGQY2APAaF81Kqm3TbmelhLgD4?scode=AH4A_wdgAAYEDTNaMpAUcAugYyAPM&tab=BB08J2","dm_index_n.index_grp1_emp_incm_devrela_org_busi_lastmon_all","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2026013016589875","客户_全口径创收_序列考核_当月&每月9号固化上月数据_无备注信息","客户全口径创收，每月9号固化上月数据；
指标具体标签，二级创收：
tag074443399 普通净佣金， tag074443400 普通账户息差创收；
tag074443509 产品创收， tag074443510 资讯创收， tag074443511 平台增值业务创收 ；
tag074443541 两融净佣金， tag074443542 两融净利息贡献， tag074443543 股票质押合约协作分成， tag074443544 约定购回， tag074443545 借贷业务创收， tag074443546 信用账户息差创收；
tag074443549 净佣金创收， tag074443550 期权账户息差创收， tag074443551 期权投顾创收；
tag074443556 有商机的交叉销售创收， tag074443557 手工维护的项目创收， tag074443558 无商机的交叉销售创收， tag074450172 子公司协同的交叉销售创收， 。
一级创收： tag074440733 传统业务创收，tag074440734 财富管理创收， tag074440735 证金业务创收，tag074440736 期权业务创收，tag074440737 交叉销售创收。
tag999999999 总创收","dm_index_n.index_grp1_cust_totl_incm_seqexam_no9fix_mth","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023032406380939","客户_浏览明细TOP5_场外基金_最近30天_无备注信息","客户最近30天浏览场外基金次数最高的5个产品的浏览明细","dm_index_n.index_grp_otc_fnd_view_det_top5","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2025072132859746","员工_新增富裕客户数_开发关系&私财总经理_当月_零售和机构柜台","按照开发关系为主汇总求和私财总经理团队下的私财员工的新增富裕客户。
说明：
1、新增富裕客户是指客户对公分类为产品，客户的开户时间在6个月内且10-25日日均净资产大于50万的个人客户（交叉销售表的数据需要打五折，部分客户应业务特殊要求不需要打折）
2、总经理指的是人员类别为私人财富序列，且岗位是'私人财富中心副总经理（负责全面工作）','私人财富中心总经理','总经理','副总经理（负责全面工作）'的员工。","dm_index_n.index_grp1_emp_addrichcust_devrela_prigeneralmag_mth_ricc","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2026012177728395","客户*员工_全口径创收_投顾序列考核_当月&每月9号固化上月数据_无备注信息","客户员工维度全口径aum创收，其中期权创收、证金创收、产品创收、资讯创收以及传统创收按资产包关系从客户汇总到员工，平台增值业务和交叉销售创收直接从上游取数，详细标签可见：https://doc.weixin.qq.com/sheet/e3_AZYAGQY2APAaF81Kqm3TbmelhLgD4?scode=AH4A_wdgAAYyUNTED0AUcAugYyAPM&tab=BB08J2
应用于投顾序列人员考核
指标计算口径：
（1）客户范围：上季度末关系状态为正常+上季度期间关系移除但未被重新挂接关系客户+本季度自主开发客户；
（3）人员范围取考核月末人员岗位且离职日期小于等于考核月月初的所有人员
（4）每月9号固化上个考核月的月度数据，计算方式按人员名下资产包归属关系同时按照自然月加总当月全口径创收
（5）财富创收中平台增值业务创收以及交叉销售创收人员及客户数据直接由上游提供，非资产包关系，该部分数据全部计入，不受考核当月新增关系影响，仅受客户是否为战略客户影响是否计入
（6）交叉销售创收中存在外部客户创收，该部分创收上游直接以员工编号、创收科目以及创收值提供，该部分数据直接计入指标数据，不做任何剔除操作直接计入
（7）证金业务创收、财富管理创收、交叉销售创收存在数据刷新情况（即由于费率或人工录入延误或数据确认延迟等原因），上述情况受每月8日固化数据影响，即8日后考核所需指标及过程数据不再进行刷新
（8）当月离职人员创收数据按照离职月份整月进行计算","dm_index_n.index_grp2_cust_emp_incm_iaseqexam_no9fix_mth","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024020141524614","客户*产品*员工_应收收入_金融产品&剔除一次性奖励&筛选私财客户及私财员工&剔除员工自购&纳入考核期客户_当月_零售和机构柜台","计算客户*产品*员工维度下剔除一次性奖励、剔除赎回费、剔除托管费、剔除OTC奖励、剔除研发协调收入后，当月私财员工名下纳入私财考核周期的私财客户（剔除一次性奖励且剔除员工自购）的金融产品应收收入，该指标只适用于私财序列考核收入的相关计算。每月5号更新上个月数据。（备注，允许产品编号为空，需在调度平台二次升级）","dm_index_n.index_grp3_cust_prd_emp_rcvbincome_outrew_finprd_mth_all","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024052203341430","员工_应收收入_金融产品&剔除一次性奖励等费用&筛选私财客户及私财员工&剔除员工自购&筛选同业产品户_当月_零售和机构柜台","该指标只适用于私财序列提成的相关计算。计算员工维度下剔除一次性奖励、剔除赎回费、剔除托管费、剔除OTC奖励、剔除保险创收、剔除研发协调收入后，筛选同业产品户，当月私财员工名下纳入私财考核周期的私财客户（剔除一次性奖励且剔除员工自购）的金融产品应收收入。每月5号更新上个月数据。","dm_index_n.index_grp1_rcvbincome_finprd_deldspsbrwd_selibprdcust_mth_all","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024041129026289","客户*产品*员工_创收_金融产品&剔除一次性奖励&剔除赎回费&剔除托管费&剔除研发协同收入&剔除OTC奖励_每月5号更新上月数据_无备注信息","用于私财考核的产品创收指标，每月手动更新上月数据（正常情况下为5号），实收部分创收需剔除转岗时间在开始时间和结束时间之间的数据，指标口径中添加用于异常情况时的红冲蓝补temp库临时表修复异常数据。指标中包含产品创收相关的明细创收，（备注，允许产品编号为空，需在调度平台二次升级）
1、应收部分：
包括公募认购：tag074443516
,公募申购费：tag074443517
,公募管理费：tag074443519
,公募销售服务费：tag074443521
,公募交易佣金：tag074443522
,私募认购：tag074443524
,私募申购费：tag074443525
,私募管理费：tag074443527
,私募固定服务费：tag074443530
,私募一次性管理费：tag074443533
,私募投资顾问费：tag074443534
,资管认购：tag074443535
,资管申购费：tag074443536
,资管管理费：tag074443537
,资管销售服务费：tag074443538
2、实收部分：
,私募业绩报酬：tag074443529
,私募浮动销售服务费：tag074443531
,私募开户佣金：tag074443532
,资管业绩报酬：tag074443539
,资管交易佣金：tag074443540
,保险创收：tag074444383
3、其他
产品创收：‘tag999999999’,跨境理财通：'tag074448882'","dm_index_n.index_grp3_cust_emp_prd_income_finprd_deldspsbrwd_delredpfee_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024030175677391","客户_创收_财富管理_当日累计_零售和机构柜台","财富管理创收 = 仅含产品创收+电商创收+新增创收； 仅含产品创收=公募产品销售创收+私募产品销售创收+资管产品销售创收+OTC产品创收。每天更新近3个月数据。具体口径及标签见：https://doc.weixin.qq.com/sheet/e3_AZYAGQY2APAaF81Kqm3TbmelhLgD4?scode=AH4A_wdgAAYqEWTV6kAUcAugYyAPM&tab=BB08J2","dm_index_n.index_grp1_cust_income_wlthadmin_tdy_wghtre13mth","是","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2025042489556485","客户*员工_新增有效户数_普通开发关系&日均净资产大于等于1万的客户_当月_无备注信息","考核期间（近三个月），计算员工*客户名下为普通开发关系且日均净资产大于等于1万的新增客户总数。
新增客户条件如下：
①开户条件：满足新开户（首次开户6个月内）/休眠空户激活/行权解禁条件。
②资产条件：考核期任意月份10-25日交易日首次日均净资产大于等于1万元的个人或机构客户，计作有效户。净资产口径含现金（普通账户、信用账户和衍生品账户）、市值（普通账户、信用账户和衍生品账户，具体含场内股基债、场外金融产品、衍生品市值等）、利息（通用回购逆回购、金快线），剔除负债（通用回购正回购、两融等合约负债），大小非（含限售和流通）、新三板（不含北交所）资产按5%折算。
③三要素重复的客户，剔除存在账号于24年前开户且24年到19年间最大资产超过1w的客户；
（2）计算规则：
①客户日均净资产大于等于1万，且添加企业微信绑定，记1个有效户。
②客户日均净资产大于等于1万，但未添加企业微信绑定，记0.8个有效户。","dm_index_n.index_grp2_cust_emp_addvld_normdevrela_mth","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2025021298176764","营业部&分公司_KPI考核指标_金融产品_年累计_无备注信息","营业部&分公司维度下的年累计KPI考核指标指标值。财富管理部KPI考核指标，含大公募考核收入、大私募考核收入、产品保有、固货保有、ETF保有、买方投顾保有等。产品考核收入通过考核系数核算，系数结合产品质量、战略意义等多维度制定，不涉及系数的产品按实际收入核算考核收入。考核保有包含公募、私募、资管、OTC（不含保本固定产品）的保有额，为避免认购期基金短期考核激励、以引导长期理性保有进而提升投资人长期投资收益，产品保有规模为年度日均全产品保有额。此外包含一些营业部维度的特殊计入来进行考核调整。该指标每年口径稍有差异，每一年的指标按不同的标签区分开来","dm_index_n.index_org_kpiindx_finprd_yearaccum","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2026041592266173","客户_产品代码&产品名称&市值_场内证券&场外证券&持仓市值TOP1_当日_无备注信息","客户所持有的场内和场外证券中，当日持仓市值排名第1的产品代码、产品名称、市值，指标值为：产品代码|产品名称|市值","dm_index_n.index_grp1_prdcd_prdname_mval_ostscr_otcscr_hld_posmvaltop1_tdy","是","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
