"任务ID","任务名","类别","图覆盖状态","覆盖解释","读取观察数","写入观察数","SQL词法筛查线索","JOIN词频","UNION词频","GROUP_BY词频","窗口词频","聚合函数词频","CASE词频","SQL槽内容SHA256","代表核对编号"
"34880","odata_n_tit.a_adm_role","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:354d6f56fbbe8bf91c43bcdfed2252400510d5aaeae7725874bbecb9a025ac88",""
"34881","odata_n_tit.a_adm_role_access","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:c42dd7b5acd070d420aaad4f289a27e55b7e988daf370a7ef1b72b4737a09f39",""
"34882","odata_n_tit.a_adm_user","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:97bd819881873253e9443d840bb28e3c1aa7de9c047b70d47a68256016c1bfe7",""
"34883","odata_n_tit.b_trd_deal_i","mysql2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:64d289a2c8287ebbc995ac20ae882a05a06e2bfa3863b9f5a0d5d0da5e56b64b",""
"34887","odata_n_tit.m_REF_INSTRUMENT_DAILY_INFO","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:f7e1e8194323c2759da99be08464bc5d42dd13ff51bcefa52b0b5872c6d38283",""
"34889","odata_n_tit.r_ref_option_general_info","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:e930559a7f38adaf25fb4a4050ba7f03a1f8faef42ce3513983fb6847b134913",""
"34890","odata_n_tit.r_REF_FUTURE_PROPERTIES","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:b5a7ca6aeed411c3e61174d097660fae17684f429a31c9d1bc856bfd82ba034b",""
"34891","odata_n_tit.r_ref_option_attribute","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:cce825eadadcdaa11e0039c45ed27b08199f7879f15d25c94cdcbe61a3268f65",""
"34894","odata_n_tit.r_ref_option_vanillaoption","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:0c1cbf18251df849f246c37892c47d59377c47dfd5335966610043866507bb06",""
"34895","odata_n_tit.t_REF_COUNTER_PARTY","mysql2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:e878a832ac86d4e344e5029fbbbb523f540e94363ddce0e144c4e887561fece4",""
"34896","odata_n_tit.v_PRICING_OPTION_EOD_METRIC","mysql2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:ffbe3f906c313ed3ca7d1e592a7bc4d01ba44bb80b50bf32d9934eaa6acc4d69",""
"34898","odata_n_tit.t_BK_BOOK","mysql2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:d9a60f37d1019c9863d37447582125d5887b0a8db205947515e7e4085815ba28",""
"34899","odata_n_tit.a_adm_user_role","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:61ba3204748fad35d8c9cfb15467d7ec6d86fc0c40675d5fa2e936788ebd42c0",""
"34901","odata_n_tit.o_pos_otc_position_daily","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:880d8cfa7256f8feb3943b6f505f2ffe382b2e3902072efe8f0aba58d166f2ff",""
"34903","odata_n_tit.b_trd_deal_otcoption","mysql2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:ecb34710dc1da4b645a9c379206db245ce093f4dd2495109b7a07e095599adf8",""
"34905","odata_n_tit.v_PRICING_OPTION_EOD_PT_METRIC","mysql2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:a61fa50feff781d83b46a23b998186a124adc86c7f2a61fdc4e1ff7e99c6d401",""
"34911","odata_n_tit.t_ref_portfolio","mysql2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:d3d65a1204755526a013354ec60dfba3a18dbba1878b791bba1b0203cb713d00",""
"34912","odata_n_tit.t_ref_portfolio_element","mysql2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:5b4b423bc22fd814e1cb93f7114e99cffa0d08af096c40d8c75544e757bf571d",""
"34915","odata_n_tit.r_ref_listed_option_props","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:a794e8ed8bf00da4914c79bbfec9814fab312c1478fa0247951735f9cd9fddd1",""
"35071","odata_n_tit.tit_r_ref_instrument_code_s","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:5b45447eedee4b50bf2b79cfe585fa27f5d3e0f7d5cef73f3daef5c19362f645",""
"35072","odata_n_tit.tit_r_ref_instrument_wind_curve_s","mysql2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:89c61b8c79a84cb4ca8f8f43c5ac18768a1a526ba3aaeddc9aa53975965efb83",""
"35541","odata_n_ta5.d_ta_tfundinfo_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:453dd41b8af0ac83c8e014b52d182ae10c9d3dadedcfe95b45f8d33fce7176ca",""
"36705","spdata.acct","hiveTask-2.0","PROJECTED","DATA_LINEAGE","1","2","多来源或计算线索","3","1","0","0","0","0","query:fdda5198bc7430c480a22100d0d29f6dca4a7397031b4fc18551bed095fb1565",""
"36710","spdata.prd_tit_idty_rela_h","hiveTask-2.0","PROJECTED","DATA_LINEAGE","1","2","多来源或计算线索","1","4","0","0","0","0","query:335349f31dfa0d6690965ed88b1402bd87cc26b07b95031dd0b7364fc19a1039",""
"36711","spdata.prd_tit_base_info","hiveTask-2.0","PROJECTED","DATA_LINEAGE","1","2","多来源或计算线索","3","1","0","0","0","0","query:3e537376b356617cff26f805a5c7725102f51c0a157ecb4b22d38dfb2e1f00e8",""
"36975","odata_n_tit.a_adm_department","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:5014cfa79cb65d395b7eb8d706ba4810b64aebeba345e680f86d8001c1f08cd3",""
"37058","spdata.prd_tit_name_h","hiveTask-2.0","PROJECTED","DATA_LINEAGE","2","2","多来源或计算线索","1","4","0","0","0","0","query:f8ab4cf8b07594257411b7217e81b6c7a3253863a9987ba485fcf0e157cba389",""
"37059","spdata.prd_tit_imp_date_h","hiveTask-2.0","PROJECTED","DATA_LINEAGE","2","2","多来源或计算线索","1","4","0","0","0","0","query:826ba12e196d4d30006b34113ad44356affb185d388d22e3f5fe7ada2dc6162e",""
"37060","spdata.prd_tit_futr_info","hiveTask-2.0","PROJECTED","DATA_LINEAGE","2","2","多来源或计算线索","3","1","0","0","0","0","query:48bc312a773fc71ba94733bf113509a1fcddd8070949e7b16a85f084135f1d2f",""
"37062","spdata.org_role","hiveTask-2.0","PROJECTED","DATA_LINEAGE","1","2","多来源或计算线索","3","1","0","0","0","0","query:689dfb39731d7daa285454c47300e3873f5161778b6cc3ee52fb1032f16ecc91",""
"37063","spdata.org_tit_user_supp_info","hiveTask-2.0","PROJECTED","DATA_LINEAGE","1","2","多来源或计算线索","3","1","0","0","0","0","query:c7c5f77ae9c0bc46049f9b39ba0741bf93d676408a9b26a34db954279c23f568",""
"37066","spdata.acct_name_h","hiveTask-2.0","PROJECTED","DATA_LINEAGE","1","2","多来源或计算线索","1","4","0","0","0","0","query:2820e48c6d9d9e966f590b9be3ff6d3299ca37bcee2bfb0c1c4e5bc1953b3af9",""
"37069","spdata.sum_agt_otc_stres_opt_day_idx","hiveTask-2.0","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:678ee8490f8c73a09848d81e35092f91134384dce212cad8a033916916bd1e3e",""
"37259","dm_tit.ref_book","hiveTask-2.0","PROJECTED","DATA_LINEAGE","3","1","多来源或计算线索","3","0","0","0","0","1","query:ae1cf1c3b2316f3ef06faf8caaa217533bccf62688efc210da33c2d607290c0e",""
"37271","dm_tit.adm_role","hiveTask-2.0","PROJECTED","DATA_LINEAGE","1","1","多来源或计算线索","1","0","0","0","0","0","query:c2d2e639ebd6bbac092ab25d65a9e35877cd1404738bbe02f32b435811d6940b",""
"37324","titans_dm.REF_PORTFOLIO","hive2oracle","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:09de6d0a18fa28877e17612f2f2033e84c6d9beb437625098e7f45a69aea0f0c;truncate:2a22fd4b89b611702ae32944c07cb2c177c3dab5777993f42c44502b7f664596",""
"37325","titans_dm.REF_PORTFOLIO_ELEMENT","hive2oracle","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:e2a72cf7ad7c298019e1629fbc3160402e09ce9dac4d26ba26d450545046ea49;truncate:e865437929d51ef53400adef88da5ceb419344351f019f78c8f199a5c0d7ad44",""
"37327","titans_dm.ADM_USER_ROLE","hive2oracle","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:a27d543eb57246969148e8b409353cb01f9cffb64380f7b9d8ddc5d15e2a5396;truncate:ba5f991553e76fdbe75baab7a3411e5503d48203bdde8cd258560b7ae8450a94",""
"37328","titans_dm.ADM_DEPARTMENT","hive2oracle","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:f6a569a90a118b7a9d6b72858469746d4b20765f2b654ff7dc640f2cfc9a2b56;truncate:eadf45e3af3b141ceb6c08864651fef819aaabd1fffbdcaf3b9f0334cdf6692e",""
"37371","titans_dm.ADM_ROLE","hive2oracle","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:b39d2171b18cd09e85a222e6dedd1eae8d95f7e161431b532693faa5ae6a52a1;truncate:d63781d9e66e17be84aefb4214a08d64d7b28d3abda8376110e339afe29ba262",""
"37438","PDATA_N.T98_CUST_INDV_CUST_BASE_INFO","hiveTask-2.0","PROJECTED","DATA_LINEAGE","11","2","多来源或计算线索","10","0","1","1","9","10","query:c5e56cdbabe37caff6a3bcc5de54e08b9b593147ef5d1f3afa6fb7eb2fdab5c8",""
"38070","odata_n_mot.m_tpdtfundinfo_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:712cdd01758c2e978214da17fa5d38bb942ceae8722cd21217fc062a48511e30",""
"38165","odata_n_acv.h_tfundinfo_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:d33e527add13c0d8189a4cd6a067ebde25c31205bca32ff24dbaf84b6217dbc3",""
"38196","odata_n_prd.p_secum_order_f","postgre2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:6c0ff2460b8e3278897d359822683dcc06e35f09a3862084b73414f2c0b7a128",""
"38677","odata_n_mot.m_tpdtfundextinfo_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:3d1f57dbb55932083cbd89ecf1e87fdd277b55b7aaaeea8f914b4b5c58d622a1",""
"39356","pdata_news_n.t02_scr_base_info_TA5","hiveTask-2.0","PROJECTED","DATA_LINEAGE","1","1","多来源或计算线索","2","0","0","0","0","3","query:5f5800b9e2fc3c1cd5d3ed51bcca4bbe9db34195df1f2f9e6ad218950090f948",""
"39719","pdata_news_n.t02_scr_base_info_ACV","hiveTask-2.0","PROJECTED","DATA_LINEAGE","3","1","多来源或计算线索","4","0","3","1","5","1","query:920297e70e76b817b7257a5f1061928b2db2337fc0868772c0e3b66bc1384b57",""
"40219","odata_n_tit.d_v_margin_account_for_risk_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:0eb13585d1f4d3d5b5630e6dd511cb9faddc6c358fa79482b2585ba53fe93cc4",""
"40222","odata_n_tit.d_v_margin_param_for_risk_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:6dea22568884e4cec50b141ef9075d9175500252d399ad75d226dec45bf5ed55",""
"40224","odata_n_tit.d_v_trs_for_risk_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:6a86f4ca43664b7502b2f97cbaebb769b23959c5c62d5a9b0ad1f2e31dfcd486",""
"40226","odata_n_tit.d_v_trs_param_for_risk_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:e1bba1c7f9401142d782b6cc7b22f22b40f0f856f625929a49df0f6b872d39f9",""
"40499","odata_n_prd.p_srv_order_f","postgre2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:77debb0b454f63968a578793b9bad7459de649ebf95b819d1f6b6842bb30517a",""
"40500","odata_n_prd.p_srv_order_his_f","postgre2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:758c8f7ee82f9e05dbc20967c4907c67a207ee1bf47a73f4760df186f8b82700",""
"41540","odata_n_tit.otc_o_margin_parameter","hiveTask-2.0","PROJECTED","DATA_LINEAGE","2","1","多来源或计算线索","2","1","0","0","0","0","query:43cda759ac0f1b6902edacbbd4ee213ed44edc45106827aabe6d94060f0fafc1",""
"41825","odata_n_tit.otc_o_margin_account","hiveTask-2.0","PROJECTED","DATA_LINEAGE","2","1","多来源或计算线索","1","1","0","0","0","0","query:cc4f12a1a2723c61d6548df66dec7ca1574bdd7f76b98a042f369fc4efb96433",""
"41828","odata_n_tit.otc_o_otc_trs","hiveTask-2.0","PROJECTED","DATA_LINEAGE","2","1","多来源或计算线索","1","1","0","0","0","0","query:17de9fea9b440ca6450031f8b76d238c9f565a9140e60e8b2b1b383db3f31b54",""
"41831","odata_n_tit.otc_o_option_parameter","hiveTask-2.0","PROJECTED","DATA_LINEAGE","2","1","多来源或计算线索","1","1","0","0","0","0","query:01ef3cd3f6e92737345c4b4cbb0de46ef5b9b414281bde7aae8822a39a11f756",""
"41839","odata_n_tit.d_v_trs_nav_acc_for_risk_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:1c2478709808a2b955c597541111b3e81f5c70a11c648e33a7916f0b0ece5b48",""
"41841","odata_n_tit.d_v_marketval_acc_for_risk_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:8807dae6eaa9ff3103b4574d11e705fa0c11b14db05f698d8df4c6878bfc82c8",""
"42142","gfval.src_otc_trs_new","hive2oracle","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:21419abf9b9659ce7f11827b075e73ca7e34f23739a0cc5bf8997f44187d2415;truncate:5dd9d6ed2c6ffcd10c4c9231de8516cf94f6190f4466ca82c3d2c907299c2fd4",""
"42766","odata_n_tit.d_risk_pressure_test_loss_detail_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:86bf97e8a0c9e4877fe5e98988463dd4d3bdf6eb63ea37af3473b4b9e7f5192b",""
"43141","risk.cal_f_rm_plreport","hive2postgre","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:6d7a5a079c811f8a123a8bf122a83a6b56872775e77b9e3bb7fde419e95d2cfc;truncate:8d3c272d5c63f0335e2c2e03687d2d28e7750ff14765f63fee73f26eea6f342a",""
"43700","exam_review_erp_reward_mon","hive2oracle","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:c1adbbc39962f94918579aed75125a1ee4eef951f9c846e292097e379cf64217;truncate:6d1e3f0c73740fe2d9677193973ec6518b3b0ee2929d8820a3df64585ac1b05f",""
"43854","odata_n_tit.d_risk_eod_report_metric_value_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:f9c8a7209ab27b4c175cbf7a874831a983944fb33e2c56e6873e4e57757bf14c",""
"44122","odata_n_tit.m_ref_div_curve_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:eb3ebfcc33e23873156aa8012ba5cb0b98c81ee3d3d17727a770f6cb16d7eb47",""
"44123","odata_n_tit.r_ref_div_curve_def_f","mysql2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:b830ee9f21ccc0508d836fdf58f76d09280ab1132b8e4d0d78fa8c4b3cbf7d7f",""
"44596","odata_n_tit.d_v_fin_trs_trade_record_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:edb30c17b78dc0979965a452fed33a6e8b0831e017b325af976df4e178556835",""
"44597","odata_n_tit.d_v_fin_margin_daily_report_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:195afedcae537463af959194a8429e968355d1bc9fbc3b4b7cc044f5fb9fc36c",""
"44601","odata_n_tit.d_v_fin_trs_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:e116d83822c757d21101a2515d36f55e0c82ac261f404bd45ec564c18c4e4774",""
"44645","gfval.src_otc_trs_trade_record","hive2oracle","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:0202fe0d220997b594df42709fbaabe260d7dcc4d4731d6082da36e89839f575;truncate:e4798beadeb24d32b3746f89e09fadac28fa92a351b970265337d7ff1c262522",""
"44648","gfval.src_otc_fin_trs","hive2oracle","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:2a317e05e78db98904b64c566fed50277c8ff66b6aedd5785de937128556fec5;truncate:081a101f3db435ae8955d4d3032e4c39412a442b81cf9b1bf68d646434705315",""
"44724","odata_n_tit.d_v_risk_cross_border_trs_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:6ebc345c51327cf4bae357f24ca5cc413ab2f083337ec2fda560ebdb3c15555b",""
"45738","odata_n_tit.d_v_fin_capital_acct_mapping_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:76edd233f62fe730179e861b0d669f4f6d69d512dc866ed4be963c23d5ae0251",""
"45831","gfval.src_otc_capital_acct_mapping","hive2oracle","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:bba8b8c5958d6c25fdd71db6194d1af697cbb365717541a572e0c0952c3d5d97;truncate:50704bdc0209ed6aab3d9bc27c1600db6168867b30ad027513cb224fbf36918a",""
"46046","odata_n_tit.d_v_risk_transferreport_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:e1795e81db0fa23d1c251a327053338fb150f4fe416dfd883212c9ab2d68956f",""
"46064","odata_n_tit.d_ref_vol_surface_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:596c3107a8de862117cf9500087c4f1375770814fe932db394015f5408931529",""
"46065","odata_n_tit.d_ref_vol_surface_structure_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:298918c6f17fd9a494ad4a56a7dcd268f2ef0d6988257f89350c9b7b1a2b1564",""
"46068","odata_n_tit.d_ref_volsurface_instance_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:004eac14eb1ea48eb743763b0201188d041e88054dbc16a31d8c59e7964c2223",""
"46070","odata_n_tit.d_ref_instrument_code_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:921c8737be44ce4dfb8d00fd38c0791f7892423de13107ed7287288177d366bf",""
"47151","odata_n_tit.d_v_risk_f_gfs_option_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:90e6035439818690f55a929e36405fb1ab2183675aa85ea9fa54092925fafe93",""
"47249","odata_n_tit.union_risk_transferreport","hiveTask-2.0","PROJECTED","DATA_LINEAGE","2","1","多来源或计算线索","1","1","0","0","0","0","query:1747dd903b959a38ca27d8a902e19626817b3f6bf35f5b5243f784212db3e3ee",""
"47250","odata_n_tit.union_risk_gfs_option","hiveTask-2.0","PROJECTED","DATA_LINEAGE","2","1","多来源或计算线索","1","1","0","0","0","0","query:8bc90218c8b7b452be12fdc267777b491692ff8a00ef5a3b161548cb1b178f2f",""
"47536","odata_n_tit.d_v_risk_plreport_i","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:e1a360471e654547ae734b63bfc843212dda9ed3cbb84101c265dbbaa5994cfd",""
"47537","odata_n_tit.d_v_risk_rm_bundlereport_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:75b750092f27d48cb2d37cc13a23af0e9a1b348e132aadc88d732a2a44f881bb",""
"47777","odata_n_tit.union_risk_rm_bundlereport","hiveTask-2.0","PROJECTED","DATA_LINEAGE","0","0","无可读SQL","0","0","0","0","0","0","",""
"50050","odata_n_tit.d_v_risk_rm_bundlereport_tit_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:8e02c369f6079984d67c16729a3b2fb349b19a31d535b37186566ea9540f7320",""
"50148","odata_n_tit.d_v_risk_counter_party_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:7c53f282d3b8ae1a8e253ef54d8f81f0e5f23229ed1a52c85053dc25f8b50104",""
"50169","odata_n_tit.d_v_risk_plreport_tit_i","oracle2hive","PROJECTED","DATA_LINEAGE","2","1","多来源或计算线索","0","1","0","0","0","3","query:de8fccbb4006332c34f72d672520319176814605c1ab5c17861e224b383f110e",""
"50343","odata_n_tit.d_v_risk_f_gfs_option_tit_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:e50cd2b2c21682261515b3dcb9b451c6270e445b3551e491045aa9490d3b86f9",""
"50344","odata_n_tit.d_v_risk_counter_party_tit_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:402865bf1a2178e59838006b21238840916d680ebde6dbc3532e9dfc77543020",""
"50345","odata_n_tit.d_v_risk_transferreport_tit_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:82c1b0ffdce9b53c1e1adfb843d715aa151be7566d2096b8d400af63dde3a3f1",""
"50353","odata_n_tit.d_v_risk_tradereport_equity_tit_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:87739f9d00d593fb5efc6fd6d84ee7f1c92b0e58d9161bea0dfaf00ba4938be3",""
"52578","odata_n_tit.d_v_risk_plreport_contract_f","oracle2hive","PROJECTED","DATA_LINEAGE","2","1","多来源或计算线索","0","1","0","0","0","6","query:402a8710297b689c9f98dd76605fe206850be5e75439375f97bd8996e2f4d38c",""
"52806","odata_n_tit.d_trd_otc_trade_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:a6072eb052fe4179a82610d25861d6d734723453deafefbe588881ff63ba8506",""
"52957","odata_n_tit.d_v_risk_yield_curve_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:e33713fd918257ec82673a2741bedadcf97f799d99a4bfe62e37047abdbfd59d",""
"54350","risk.d_v_risk_plreport_contract","hive2postgre","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:e76673d1e8367186bc7322783ae066dabc5dd4e9a07b4a4e4499369727fa80d9;truncate:00f758845d0925b4560411ad226cf1a68f2029a4148f2b8c06654ac6423c1be5",""
